frame_id,elapsed_start_seconds,sum_tbt_debt,sum_ttft_debt,selected_budget,predicted_duration_seconds,actual_duration_seconds,prediction_error_seconds,action,selected_template,current_prefill_count,current_decode_count
96,12.284604301000002,0.0,0.0,0,0.1266641059725502,0.126515309,-0.00014879697255021362,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
97,12.411119610000002,0.0,0.0,0,0.12666536740056486,0.126003981,-0.0006613864005648729,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
98,12.537123591000002,0.0,0.0,0,0.1266608883961512,0.126250718,-0.00041017039615118267,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
99,12.663374309000002,0.0,0.0,0,0.12665928325050982,0.12612182,-0.0005374632505098231,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
100,12.789496129000002,0.0,0.0,0,0.12665632936400392,0.1268564,0.00020007063599608577,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
101,12.916352529000001,0.0,0.0528109073638916,56,0.04773658835779104,0.134190339,0.08645375064220895,MIXED,ALL_DECODE:P25:requested_56,1,4
102,13.050542868,0.0,0.0,169,0.07814690383440626,0.14437653,0.06622962616559375,MIXED,ALL_DECODE:MAX:requested_169,1,4
103,13.194919398000001,0.0,0.0,0,0.12699113087548286,0.12809647,0.0011053391245171296,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,5
104,13.323015868,0.0,0.0,0,0.12700670662140956,0.127773876,0.0007671693785904488,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,5
105,13.450789744000001,0.0,0.0,0,0.12701855837597797,0.127148657,0.00013009862402202366,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,5
106,13.577938401,0.0,0.0,0,0.12702361821377076,0.127054801,3.118278622923909e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,5
107,13.704993202,0.0,0.0,0,0.12702763341293438,0.128341158,0.0013135245870656287,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,5
108,13.83333436,0.0,0.0361630916595459,36,0.04409127913383615,0.134986918,0.09089563886616386,MIXED,ALL_DECODE:P25:requested_36,1,5
109,13.968321278,0.0,0.0,110,0.06382724812982021,0.140231615,0.07640436687017979,MIXED,ALL_DECODE:MAX:requested_110,1,5
110,14.108552892999999,0.0,0.0,0,0.1273177079771268,0.127734084,0.0004163760228731994,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
111,14.236286976999999,0.0,0.0,0,0.1273263851668203,0.127766948,0.00044056283317969736,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
112,14.364053924999999,0.0,0.0,0,0.1273352637510815,0.127467923,0.0001326592489185041,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
113,14.491521847999998,0.0,0.0,0,0.12734101879784265,0.127026097,-0.00031492179784264884,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
