frame_id,plan_id,template_id,batch_kind,prediction_mode,in_support,calibration_source_replayed,calibration_sample_count_before,total_prefill_tokens,total_decode_tokens,total_scheduled_tokens,expected_duration_seconds,conservative_duration_seconds,effective_duration_seconds,actual_duration_seconds,expected_error_seconds_prediction_minus_actual,conservative_error_seconds_prediction_minus_actual,effective_error_seconds_prediction_minus_actual,expected_absolute_error_seconds,conservative_absolute_error_seconds,effective_absolute_error_seconds,conservative_covers_actual,timing_source,selector_reason,controller_reason
24,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,21,0,2,2,0.12750393983692404,0.13022876065710765,0.12750393983692404,0.125179638,0.002324301836924031,0.005049122657107635,0.002324301836924031,0.002324301836924031,0.005049122657107635,0.002324301836924031,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
25,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,22,0,2,2,0.12750541598840548,0.13023023680858908,0.12750541598840548,0.125581319,0.0019240969884054826,0.004648917808589087,0.0019240969884054826,0.0019240969884054826,0.004648917808589087,0.0019240969884054826,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
26,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,23,0,2,2,0.12750689213988695,0.13023171296007055,0.12750689213988695,0.124692405,0.0028144871398869398,0.005539307960070544,0.0028144871398869398,0.0028144871398869398,0.005539307960070544,0.0028144871398869398,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
27,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,24,0,2,2,0.12750836829136838,0.130233189111552,0.12750836829136838,0.125879065,0.0016293032913683725,0.004354124111551977,0.0016293032913683725,0.0016293032913683725,0.004354124111551977,0.0016293032913683725,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
28,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,25,0,2,2,0.12750984444284982,0.13023466526303343,0.12750984444284982,0.126316762,0.0011930824428498243,0.003917903263033429,0.0011930824428498243,0.0011930824428498243,0.003917903263033429,0.0011930824428498243,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
29,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,26,0,2,2,0.1275113205943313,0.1302361414145149,0.1275113205943313,0.125476104,0.002035216594331285,0.004760037414514889,0.002035216594331285,0.002035216594331285,0.004760037414514889,0.002035216594331285,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
30,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,27,0,2,2,0.12751279674581276,0.13023761756599636,0.12751279674581276,0.124742293,0.0027705037458127524,0.005495324565996357,0.0027705037458127524,0.0027705037458127524,0.005495324565996357,0.0027705037458127524,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
31,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,28,0,2,2,0.1275142728972942,0.1302390937174778,0.1275142728972942,0.125357655,0.002156617897294183,0.004881438717477787,0.002156617897294183,0.002156617897294183,0.004881438717477787,0.002156617897294183,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
32,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,29,0,2,2,0.12751574904877563,0.13024056986895924,0.12751574904877563,0.125872889,0.0016428600487756462,0.0043676808689592506,0.0016428600487756462,0.0016428600487756462,0.0043676808689592506,0.0016428600487756462,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
33,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,30,0,2,2,0.1275172252002571,0.1302420460204407,0.1275172252002571,0.125345223,0.002172002200257095,0.004896823020440699,0.002172002200257095,0.002172002200257095,0.004896823020440699,0.002172002200257095,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
